,Rank,Position,Name,BR,DT,ESPN,FOX,NFL,PFF,SBN,WF,Yahoo,SD,Avg
0,1,ED,Myles Garrett,1,1,1,1,1,1,1,1,1,0.0,1.00
1,2,S,Jamal Adams,4,3,2,7,12,6,3,5,5,3.0,5.22
2,3,IDL,Jonathan Allen,8,10,5,3,11,2,2,4,6,3.4,5.67
3,4,CB,Marshon Lattimore,10,6,6,4,5,4,5,11,4,2.6,6.11
4,5,ED,Solomon Thomas,5,2,3,5,4,10,6,19,3,5.3,6.33
5,6,RB,Leonard Fournette,2,5,4,13,2,23,8,3,2,7.0,6.89
6,7,S,Malik Hooker,6,4,10,15,8,8,4,2,7,3.9,7.11
7,8,TE,O.J. Howard,7,8,7,2,7,18,12,6,10,4.5,8.56
8,9,LB,Reuben Foster,3,15,8,6,18,5,9,29,8,8.2,11.22
9,10,WR,Mike Williams,12,9,12,9,13,11,10,13,14,1.8,11.44
10,11,LB,Haason Reddick,16,18,11,11,15,20,19,–,12,3.6,15.25
11,12,WR,Corey Davis,15,14,15,10,30,7,11,30,13,8.3,16.11
12,13,QB,Mitchell Trubisky,14,12,27,16,3,13,15,38,16,10.0,17.11
13,14,RB,Dalvin Cook,43,20,17,23,9,9,7,7,20,11.5,17.22
14,15,ED,Derek Barnett,25,7,13,24,33,3,13,21,18,9.4,17.44
15,16,RB JR.,Christian McCaffrey,19,13,9,17,36,16,22,17,9,8.2,17.56
16,17,WR,John Ross,24,16,20,12,21,19,20,20,15,3.6,18.56
17,18,TE,David Njoku,13,27,14,21,16,31,29,16,19,6.8,20.67
18,19,ED,Taco Charlton,21,25,38,18,10,28,25,8,24,9.2,21.89
19,20,OT,Ryan Ramczyk,26,19,30,19,23,22,18,25,23,3.9,22.78
20,21,CB,Gareon Conley,11,29,–,35,41,35,28,12,11,12.2,25.25
21,22,ED,Charles Harris,17,31,18,32,29,36,31,9,26,8.8,25.44
22,23,OG,Forrest Lamp,20,30,16,14,26,27,21,56,21,12.5,25.67
23,24,QB,Deshaun Watson,22,26,28,20,14,17,14,88,17,23.3,27.33
24,25,CB,Marlon Humphrey,39,39,23,28,28,25,24,10,33,8.9,27.67
25,26,OT,Garett Bolles,23,22,34,22,32,61,32,22,22,12.7,30.00
26,27,IDL,Malik McDowell,50,21,41,26,17,21,23,36,38,11.3,30.33
27,28,S,Jabrill Peppers,33,11,48,29,24,45,16,39,30,12.4,30.56
28,29,OT,Cam Robinson,27,35,19,31,22,55,40,18,29,11.7,30.67
29,30,CB,Tre'Davious White,31,37,26,50,20,12,30,55,27,13.6,32.00
30,31,ED,Takkarist McKinley,30,24,24,34,25,47,17,64,25,14.6,32.22
31,32,LB,Jarrad Davis,32,48,25,44,39,38,45,15,36,10.5,35.78
32,33,CB,Quincy Wilson,9,17,31,27,66,60,48,35,32,18.8,36.11
33,34,CB,Sidney Jones,35,57,65,38,6,33,34,23,45,17.4,37.33
34,35,RB,Alvin Kamara,28,62,40,43,27,44,41,37,31,10.7,39.22
35,36,RB,Joe Mixon,18,84,47,8,35,34,61,–,34,24.0,40.13
36,37,LB,Zach Cunningham,52,53,53,36,40,30,27,24,48,11.7,40.33
37,38,QB,DeShone Kizer,41,38,54,25,51,65,33,31,28,13.4,40.67
38,39,TE,Evan Engram,36,34,21,67,38,58,44,44,37,13.6,42.11
39,40,LB,T.J. Watt,42,43,37,58,44,41,42,26,47,8.4,42.22
