,Rank,Position,Name,BR,CBS,TDN,DT,ESPN,NBC,NFL,PFF,SI,USA,WF,Yahoo,SD,Avg
0,1,RB JR.,Saquon Barkley,1,6,2,2,1,3,1,11,1,1,1,2,3.0,2.67
1,2,OG JR.,Quenton Nelson,3,3,1,8,3,2,2,4,4,2,2,4,1.8,3.17
2,3,ED SR.,Bradley Chubb,2,1,4,3,2,5,3,13,3,3,3,5,3.1,3.92
3,4,LB JR.,Roquan Smith,10,4,10,13,5,6,7,7,10,4,10,3,3.1,7.42
4,5,QB JR.,Josh Rosen,8,16,7,4,9,1,15,6,8,8,14,1,4.9,8.08
5,6,S RS SO.,Derwin James,11,2,11,12,7,4,12,5,16,5,5,7,4.2,8.08
6,7,S JR.,Minkah Fitzpatrick,6,9,5,6,8,14,23,10,6,6,9,9,5.0,9.25
7,8,CB JR.,Denzel Ward,9,13,18,7,6,12,9,9,9,14,12,15,3.5,11.08
8,9,QB JR.,Sam Darnold,5,22,44,1,4,21,5,2,2,13,4,14,12.6,11.42
9,10,LB JR.,Tremaine Edmunds,4,25,3,9,12,19,4,30,14,9,7,11,8.5,12.25
10,11,QB SR.,Baker Mayfield,12,34,8,11,11,22,17,1,7,15,32,19,9.8,15.75
11,12,CB RS JR.,Josh Jackson,17,8,22,21,27,11,20,8,13,22,11,12,6.3,16.00
12,13,IDL JR.,Vita Vea,16,19,23,20,14,34,6,20,12,11,6,20,7.8,16.75
13,14,OT SR.,Mike McGlinchey,22,35,12,17,13,13,31,15,21,32,15,16,8.2,20.17
14,15,ED SR.,Harold Landry,15,52,19,26,26,7,18,12,18,12,43,6,13.9,21.17
15,16,QB JR.,Lamar Jackson,–,14,41,18,29,23,32,19,30,7,13,8,10.8,21.27
16,17,IDL RS JR.,Taven Bryan,30,17,32,19,21,20,13,34,20,34,17,13,7.9,22.50
17,18,IDL JR.,Da'Ron Payne,34,24,25,35,15,26,8,37,17,21,8,23,9.7,22.75
18,19,OG SR.,Isaiah Wynn,27,21,9,33,38,9,14,16,33,25,46,10,12.3,23.42
19,20,WR JR.,Calvin Ridley,18,46,42,15,20,27,11,23,11,16,16,38,12.1,23.58
20,21,RB JR.,Derrius Guice,29,12,21,10,35,10,22,45,25,10,29,37,11.8,23.75
21,22,CB JR.,Jaire Alexander,24,11,15,34,17,52,27,22,37,18,27,17,11.5,25.08
22,23,ED SR.,Marcus Davenport,14,20,47,14,16,15,37,28,15,35,31,42,12.0,26.17
23,24,LB SR.,Rashaan Evans,20,50,29,16,19,29,24,44,26,17,28,18,10.7,26.67
24,25,IDL SR.,Mo Hurst,38,7,13,23,61,8,33,3,29,23,60,29,19.0,27.25
25,26,LB RS JR.,Leighton Vander Esch,19,27,38,30,32,16,10,26,23,48,41,25,10.8,27.92
26,27,WR RS JR.,Courtland Sutton,35,5,16,38,44,28,41,38,24,26,18,22,11.7,27.92
27,28,OG SR.,Will Hernandez,41,23,34,39,25,30,21,17,42,20,39,33,8.9,30.33
28,29,OT JR.,Connor Williams,13,30,6,27,37,38,39,18,19,31,98,28,23.2,32.00
29,30,C JR.,James Daniels,23,42,36,62,18,17,26,59,32,29,36,21,14.8,33.42
30,31,WR JR.,D.J. Moore,–,70,26,29,22,24,46,31,36,27,42,27,13.9,34.55
31,32,QB RS JR.,Josh Allen,7,55,125,5,10,44,38,35,5,56,24,32,33.5,36.33
32,33,RB SR.,Sony Michel,33,53,43,52,31,18,30,46,43,37,22,31,11.1,36.58
33,34,CB JR.,Mike Hughes,26,69,55,28,23,51,35,27,35,55,26,24,15.5,37.83
34,35,C SR.,Billy Price,21,47,17,72,33,47,28,69,45,24,20,34,18.4,38.08
35,36,CB JR.,Isaiah Oliver,25,29,76,32,54,71,29,36,22,30,53,35,18.1,41.00
36,37,S JR.,Justin Reid,47,63,31,46,39,33,16,58,34,61,38,30,14.2,41.33
37,38,TE RS SR.,Dallas Goedert,39,51,33,64,36,35,55,21,61,41,–,54,13.4,44.55
38,39,RB JR.,Ronald Jones II,43,36,56,36,56,84,19,39,41,40,54,46,15.8,45.83
39,40,OT RS JR.,Kolton Miller,32,28,65,22,30,46,47,92,28,89,40,41,23.5,46.67
40,41,RB SR.,Nick Chubb,–,45,14,50,34,36,93,41,60,43,34,69,20.9,47.18
41,42,WR SR.,James Washington,–,18,39,43,50,53,62,24,53,42,87,58,18.7,48.09
42,43,S JR.,Ronnie Harrison,40,91,61,37,41,58,53,51,38,19,49,50,17.4,49.00
43,44,WR RS JR.,Christian Kirk,36,129,59,25,42,31,49,68,27,54,33,47,28.2,50.00
44,45,C SR.,Frank Ragnow,–,33,30,60,24,32,72,14,79,105,–,57,28.8,50.60
45,46,TE SR.,Mike Gesicki,37,54,52,55,51,60,36,43,46,60,100,63,16.7,54.75
46,47,QB SR.,Mason Rudolph,–,10,86,41,62,72,69,25,68,52,–,64,23.3,54.90
47,48,ED JR.,Sam Hubbard,31,113,48,42,65,42,52,84,48,47,48,49,22.3,55.75
48,49,CB JR.,Donte Jackson,–,105,70,59,45,66,51,33,44,80,21,44,23.4,56.18
49,50,CB JR.,Carlton Davis,48,96,81,47,83,131,25,42,40,45,25,39,32.2,58.50
50,51,WR SR.,Anthony Miller,–,44,27,86,46,37,79,50,96,64,64,55,21.3,58.91
51,52,OG SR.,Braden Smith,–,39,69,44,57,80,66,57,84,51,62,51,14.0,60.00
52,53,TE JR.,Hayden Hurst,45,187,53,31,28,49,34,95,39,90,23,48,45.9,60.17
53,54,OT SR.,Tyrell Crosby,49,40,49,90,55,41,91,71,64,76,75,40,18.8,61.75
54,55,IDL SR.,Harrison Phillips,44,43,–,57,43,67,43,112,63,33,92,87,25.1,62.18
55,56,OT RS JR.,Orlando Brown,–,26,54,58,76,83,94,86,47,71,–,56,20.7,65.10
56,57,ED JR.,Arden Key,–,73,46,24,123,101,124,74,31,38,19,74,37.9,66.09
57,58,IDL SR.,Nathan Shepherd,–,108,35,82,59,50,67,62,–,39,–,96,24.8,66.44
