,Rank,Position,Name,ATH,BR,CBS,TDN,DT,ESPN,NBC,NFL,PFF,PFN,Ring,SI,USA,WF,Yahoo,SD,Avg
0,1,ED JR.,Nick Bosa,1,2,1,2,1,1,5,2,2,3,2,1,2,2,2,1.0,1.93
1,2,IDL RS SO.,Quinnen Williams,2,1,4,1,2,2,1,12,3,1,4,2,1,1,1,2.8,2.53
2,3,ED SR.,Josh Allen,3,3,21,9,3,5,2,3,5,8,3,3,4,4,6,4.7,5.47
3,4,IDL JR.,Ed Oliver,5,6,2,4,7,3,3,6,11,4,9,6,3,11,7,2.8,5.80
4,5,LB JR.,Devin White,12,4,15,14,5,4,8,15,12,5,5,5,9,3,11,4.4,8.47
5,6,OT JR.,Jonah Williams,4,8,3,10,16,17,7,11,4,7,16,15,7,29,12,6.8,11.07
6,7,TE RS SO.,T.J. Hockenson,6,5,34,8,9,6,4,9,21,2,12,9,13,25,8,8.8,11.40
7,8,OT JR.,Jawaan Taylor,14,25,26,5,6,10,16,4,15,6,7,14,19,9,15,6.9,12.73
8,9,QB RS JR.,Kyler Murray,16,13,23,26,4,9,20,7,1,26,1,11,6,28,10,9.3,13.40
9,10,ED SR.,Montez Sweat,7,12,14,23,11,22,13,5,46,17,8,7,15,5,5,10.6,14.00
10,11,IDL SR.,Christian Wilkins,8,22,12,18,19,7,21,13,25,24,19,12,10,7,21,6.3,15.87
11,12,IDL JR.,Jeffery Simmons,18,7,5,17,53,16,17,1,8,22,21,30,27,8,3,13.3,16.87
12,13,LB JR.,Devin Bush,10,11,30,24,24,8,12,26,18,12,11,20,12,31,9,8.0,17.20
13,14,ED JR.,Brian Burns,11,17,25,3,38,14,10,27,14,32,14,21,8,37,4,11.3,18.33
14,15,ED JR.,Clelin Ferrell,21,23,17,11,18,21,19,23,35,20,17,18,14,14,14,5.6,19.00
15,16,CB RS SO.,Greedy Williams,24,15,6,27,17,29,14,14,9,34,20,13,23,22,19,7.6,19.07
16,17,CB RS SO.,Byron Murphy,20,18,18,12,15,27,24,34,6,13,24,24,16,23,13,7.1,19.13
17,18,QB RS SO.,Dwayne Haskins,15,19,53,52,8,15,9,21,10,28,10,10,5,26,16,14.8,19.80
18,19,OT RS SR.,Andre Dillard,9,37,27,45,10,19,6,24,13,16,18,19,28,20,23,10.4,20.93
19,20,ED JR.,Rashan Gary,13,10,57,39,12,13,31,10,48,23,13,4,21,6,18,15.8,21.20
20,21,WR RS SO.,D.K. Metcalf,27,32,29,6,14,40,35,8,17,9,34,16,20,30,17,10.9,22.27
21,22,IDL SR.,Jerry Tillery,32,–,7,29,33,32,11,16,7,27,26,31,18,45,25,11.0,24.21
22,23,TE JR.,Noah Fant,23,16,37,7,22,12,25,37,43,10,32,29,11,47,20,12.5,24.73
23,24,OT RS JR.,Cody Ford,19,26,48,19,51,25,23,22,22,21,25,25,31,10,22,10.6,25.93
24,25,C RS SR.,Garrett Bradbury,17,21,56,22,28,18,18,30,41,11,23,38,17,59,27,14.3,28.40
25,26,CB SR.,DeAndre Baker,34,36,8,31,34,36,38,38,16,35,37,17,32,12,29,10.2,28.87
26,27,WR JR.,A.J. Brown,31,14,10,44,23,45,30,28,20,36,30,35,36,53,36,11.5,31.40
27,28,QB SR.,Drew Lock,37,33,19,74,13,24,68,35,37,29,6,28,38,17,30,18.3,32.53
28,29,IDL JR.,Dexter Lawrence,33,46,16,48,46,26,27,19,32,31,56,22,29,32,26,11.5,32.60
29,30,WR JR.,Marquise Brown,28,28,40,56,21,11,29,29,31,53,22,23,54,39,31,13.1,33.00
30,31,OT SR.,Dalton Risner,46,48,9,21,30,46,33,17,19,25,28,43,26,73,39,16.1,33.53
31,32,RB JR.,Josh Jacobs,22,9,99,33,40,23,53,20,60,37,27,8,34,15,24,23.3,33.60
32,33,S SR.,Nasir Adderley,25,43,50,15,25,37,37,66,27,19,53,27,42,46,40,13.9,36.80
33,34,C RS JR.,Erik McCoy,35,49,69,16,42,35,43,18,80,15,31,52,37,19,44,18.8,39.00
34,35,OG SR.,Chris Lindstrom,36,41,42,20,32,41,26,54,51,18,41,74,30,51,32,14.4,39.27
35,36,WR JR.,N'Keal Harry,52,20,24,42,39,33,22,63,61,30,38,37,33,75,34,16.0,40.20
36,37,S JR.,Chauncey Gardner-Johnson,48,39,52,13,20,52,73,36,49,14,29,47,35,82,47,19.4,42.40
37,38,S JR.,Taylor Rapp,30,24,59,58,43,43,56,47,38,42,58,34,40,50,28,11.4,43.33
38,39,WR RS JR.,Hakeem Butler,62,47,20,28,31,66,15,95,42,33,36,77,22,–,43,23.2,44.07
39,40,WR RS SR.,Deebo Samuel,45,34,51,35,78,39,52,33,52,40,46,53,47,34,48,11.5,45.80
40,41,CB JR.,Justin Layne,40,45,32,57,59,53,45,55,39,46,63,49,46,–,42,8.6,47.93
41,42,CB SR.,Rock Ya-Sin,26,31,75,76,55,31,49,39,69,47,43,40,44,55,50,15.4,48.67
42,43,CB JR.,Julian Love,50,–,28,55,81,54,28,52,45,48,54,44,64,58,49,13.3,50.71
43,44,S SR.,Darnell Savage Jr.,58,–,68,36,75,28,50,44,28,45,39,72,53,27,89,19.4,50.86
44,45,ED RS SR.,Chase Winovich,60,–,67,34,67,44,41,69,29,41,40,71,25,48,82,17.8,51.29
45,46,S SR.,Juan Thornhill,49,–,31,32,45,60,51,43,58,44,49,82,70,33,74,15.7,51.50
46,47,IDL RS JR.,Dre'Mont Jones,56,–,43,78,26,64,34,56,62,73,69,26,66,13,55,19.9,51.50
47,48,S SR.,Johnathan Abram,41,27,62,65,58,20,85,31,112,52,59,45,67,18,37,25.2,51.93
48,49,QB RS JR.,Daniel Jones,53,–,82,99,27,59,32,57,70,71,15,41,51,16,56,24.3,52.07
49,50,C SR.,Elgton Jenkins,44,40,45,68,62,51,54,59,26,39,74,69,60,43,67,13.7,53.40
50,51,OT JR.,Greg Little,39,–,41,111,50,78,81,53,34,64,33,50,81,24,45,24.1,56.00
51,52,CB RS SR.,Amani Oruwariye,–,–,36,25,48,90,109,76,36,58,66,54,39,40,64,24.0,57.00
52,53,TE JR.,Irv Smith Jr.,42,–,151,37,47,34,98,32,84,38,65,36,48,54,33,33.6,57.07
53,54,ED SR.,Zach Allen,74,–,11,66,57,69,55,101,40,54,76,51,55,38,58,20.8,57.50
54,55,WR SR.,Parris Campbell,43,35,106,67,65,49,76,25,96,61,50,46,58,–,46,22.3,58.79
55,56,WR RS JR.,J.J. Arcega-Whiteside,67,–,22,41,44,48,89,100,23,63,62,89,57,56,63,23.1,58.86
56,57,S RS JR.,Deionte Thompson,57,42,54,47,35,115,75,73,66,56,70,32,50,76,54,20.5,60.13
57,58,LB JR.,Mack Wilson,54,–,–,54,41,129,58,40,127,49,–,42,41,41,51,32.1,60.58
58,59,S JR.,Amani Hooker,68,–,47,40,84,91,47,61,44,55,86,84,56,–,53,17.9,62.77
59,60,WR JR.,Kelvin Harmon,51,–,33,30,56,100,78,137,81,50,67,67,43,49,38,29.1,62.86
60,61,ED JR.,Jachai Polite,38,–,70,43,73,109,71,167,98,57,44,39,24,21,35,39.6,63.50
61,62,RB JR.,David Montgomery,75,30,66,83,54,79,40,49,79,84,100,66,61,–,41,20.0,64.79
62,63,RB JR.,Miles Sanders,76,–,87,72,63,42,70,45,82,65,73,–,77,–,62,13.6,67.83
63,64,OT RS SR.,Kaleb McGary,63,–,101,132,37,73,48,51,65,96,42,–,78,–,59,27.7,70.42
64,65,ED SR.,L.J. Collier,61,44,71,112,89,38,101,65,54,82,35,83,99,–,69,24.0,71.64
65,66,CB JR.,Joejuan Williams,66,–,55,114,92,50,74,41,88,94,72,57,79,96,57,20.9,73.93
66,67,ED JR.,Anthony Nelson,70,–,38,79,127,101,59,77,53,109,51,64,68,–,66,25.0,74.00
67,68,CB JR.,Sean Bunting,29,–,91,53,85,62,87,96,83,43,83,–,104,–,–,23.9,74.18
68,69,ED RS SR.,Jaylon Ferguson,69,38,155,141,36,63,39,64,143,106,47,33,59,62,60,41.4,74.33
69,70,WR SR.,Andy Isabella,64,–,63,82,80,110,60,134,30,75,64,87,75,–,61,25.4,75.77
70,71,TE RS JR.,Jace Sternberger,87,–,79,50,72,71,42,107,67,81,85,73,86,–,87,16.8,75.92
71,72,WR JR.,Riley Ridley,59,–,115,61,79,65,172,46,71,62,99,56,52,63,76,33.0,76.86
72,73,OT RS SR.,Max Scharping,81,–,–,113,101,70,46,75,50,91,48,–,97,–,92,22.9,78.55
73,74,RB SR.,Damien Harris,55,–,105,77,49,108,83,87,135,59,81,65,74,35,91,26.2,78.86
74,75,CB JR.,David Long,72,–,35,108,91,58,36,79,33,115,61,–,189,–,73,43.8,79.17
75,76,CB JR.,Trayvon Mullen,90,29,119,69,60,75,102,48,160,79,–,48,63,91,79,32.9,79.43
76,77,IDL RS SR.,Khalen Saunders,73,–,76,87,82,83,103,111,47,86,92,76,62,57,98,17.7,80.93
77,78,WR SR.,Terry McLaurin,93,–,103,64,70,57,94,124,68,68,91,–,87,74,–,19.3,82.75
78,79,OG RS SR.,Michael Deiter,–,–,–,38,86,85,97,92,105,70,–,63,118,77,–,22.7,83.10
79,80,RB JR.,Darrell Henderson,80,–,111,49,100,125,77,86,119,51,77,58,80,–,71,24.5,83.38
80,81,WR SR.,Emanuel Hall,–,–,83,73,66,117,105,89,89,–,57,95,71,92,83,16.8,85.00
81,82,CB SR.,Lonnie Johnson Jr.,–,50,44,187,52,55,61,58,161,101,–,78,76,98,–,45.7,85.08
82,83,OT RS SR.,Yodny Cajuste,–,–,39,46,83,135,82,144,97,66,68,98,73,95,–,31.4,85.50
