"pfr_player_id","rookie_season","year","age","tm","pos","no","g","gs","av","awards"
"AikmTr00",1989,1999,33,"DAL","QB",8,14,14,10,NA
"AikmTr00",1989,2000,34,"DAL","QB",8,11,11,4,NA
"BankTo00",1996,1999,26,"BAL","QB",12,12,10,7,NA
"BankTo00",1996,2000,27,"BAL","QB",12,11,8,5,NA
"BankTo00",1996,2001,28,"WAS","QB",12,15,14,8,NA
"BankTo00",1996,2003,30,"HOU","QB",12,7,3,2,NA
"BankTo00",1996,2004,31,"HOU","QB",12,5,0,0,NA
"BankTo00",1996,2005,32,"HOU","QB",12,2,0,1,NA
"BatcCh00",1998,1999,25,"DET","QB",10,11,10,7,NA
"BatcCh00",1998,2000,26,"DET","QB",10,15,15,9,NA
"BatcCh00",1998,2001,27,"DET","QB",10,10,9,6,NA
"BatcCh00",1998,2003,29,"PIT","QB",16,4,0,0,NA
"BatcCh00",1998,2005,31,"PIT","QB",16,4,2,1,NA
"BatcCh00",1998,2006,32,"PIT","QB",16,8,1,2,NA
"BatcCh00",1998,2007,33,"PIT","QB",16,7,1,1,NA
"BatcCh00",1998,2009,35,"PIT","QB",16,1,0,0,NA
"BatcCh00",1998,2010,36,"PIT","QB",16,3,2,1,NA
"BatcCh00",1998,2011,37,"PIT","QB",16,4,1,1,NA
"BatcCh00",1998,2012,38,"PIT","QB",16,2,2,1,NA
"BeueSt00",1988,1999,34,"CAR","QB",7,16,16,19,"PB"
"BeueSt00",1988,2000,35,"CAR","QB",7,16,16,12,NA
"BeueSt00",1988,2002,37,"DEN","QB",11,8,3,3,NA
"BeueSt00",1988,2003,38,"DEN","QB",11,4,2,2,NA
"BlakJe00",1992,1999,29,"CIN","QB",8,14,12,10,NA
"BlakJe00",1992,2000,30,"NOR","QB",18,11,11,9,NA
"BlakJe00",1992,2001,31,"NOR","QB",18,1,0,0,NA
"BlakJe00",1992,2002,32,"BAL","QB",11,11,10,6,NA
"BlakJe00",1992,2003,33,"ARI","QB",11,13,13,6,NA
"BlakJe00",1992,2004,34,"PHI","QB",11,3,0,0,NA
"BlakJe00",1992,2005,35,"CHI","QB",11,2,0,0,NA
"BledDr00",1993,1999,27,"NWE","QB",11,16,16,11,NA
"BledDr00",1993,2000,28,"NWE","QB",11,16,16,11,NA
"BledDr00",1993,2001,29,"NWE","QB",11,2,2,2,NA
"BledDr00",1993,2002,30,"BUF","QB",11,16,16,14,"AP CPoY-3, PB"
"BledDr00",1993,2003,31,"BUF","QB",11,16,16,7,NA
"BledDr00",1993,2004,32,"BUF","QB",11,16,16,10,NA
"BledDr00",1993,2005,33,"DAL","QB",11,16,16,11,NA
"BledDr00",1993,2006,34,"DAL","QB",11,6,6,4,NA
"BonoSt00",1985,1999,37,"CAR","QB",12,2,0,0,NA
"BrisBu00",1986,1999,37,"DEN","QB",6,2,0,0,NA
"BrisBu00",1986,2000,38,"MIN","QB",6,2,0,0,NA
"BrowDa00",1992,1999,29,"ARI","QB",17,8,5,1,NA
"BrowDa00",1992,2000,30,"ARI","QB",17,6,2,1,NA
"BrowDa00",1992,2001,31,"ARI","QB",17,1,0,0,NA
"BrunMa00",1994,1999,29,"JAX","QB",8,15,15,12,"PB"
"BrunMa00",1994,2000,30,"JAX","QB",8,16,16,15,NA
"BrunMa00",1994,2001,31,"JAX","QB",8,15,15,12,NA
"BrunMa00",1994,2002,32,"JAX","QB",8,15,15,12,NA
"BrunMa00",1994,2003,33,"JAX","QB",8,3,3,2,NA
"BrunMa00",1994,2004,34,"WAS","QB",8,9,9,0,NA
"BrunMa00",1994,2005,35,"WAS","QB",8,16,15,10,"AP CPoY-3"
"BrunMa00",1994,2006,36,"WAS","QB",8,10,9,6,NA
"BrunMa00",1994,2008,38,"NOR","QB",11,2,0,0,NA
"BrunMa00",1994,2009,39,"NOR","QB",11,16,1,0,NA
"BrunMa00",1994,2010,40,"NYJ","QB",8,2,0,0,NA
"BrunMa00",1994,2011,41,"NYJ","QB",8,16,0,0,NA
"CaseSt00",1995,1999,27,"BAL","QB",10,10,4,1,NA
"CaseSt00",1995,2000,28,"DET","QB",15,5,1,2,NA
"ChanCh00",1988,1999,34,"ATL","QB",12,12,12,8,NA
"ChanCh00",1988,2000,35,"ATL","QB",12,14,13,7,NA
"ChanCh00",1988,2001,36,"ATL","QB",12,14,14,10,NA
"ChanCh00",1988,2002,37,"CHI","QB",12,9,7,3,NA
"ChanCh00",1988,2003,38,"CHI","QB",12,8,6,1,NA
"ChanCh00",1988,2004,39,"STL","QB",12,5,2,1,NA
"CollKe00",1995,1999,27,"NYG","QB",5,10,7,6,NA
"CollKe00",1995,2000,28,"NYG","QB",5,16,16,13,"AP CPoY-2"
"CollKe00",1995,2001,29,"NYG","QB",5,16,16,10,NA
"CollKe00",1995,2002,30,"NYG","QB",5,16,16,13,NA
"CollKe00",1995,2003,31,"NYG","QB",5,13,13,7,NA
"CollKe00",1995,2004,32,"OAK","QB",5,14,13,10,NA
"CollKe00",1995,2005,33,"OAK","QB",5,15,15,11,NA
"CollKe00",1995,2006,34,"TEN","QB",5,4,3,2,NA
"CollKe00",1995,2007,35,"TEN","QB",5,6,1,2,NA
"CollKe00",1995,2008,36,"TEN","QB",5,16,15,8,"AP CPoY-2, PB"
"CollKe00",1995,2009,37,"TEN","QB",5,7,6,1,NA
"CollKe00",1995,2010,38,"TEN","QB",5,10,7,6,NA
"CollKe00",1995,2011,39,"IND","QB",5,3,3,1,NA
"CollTo00",1995,2001,30,"KAN","QB",15,1,0,0,NA
"CollTo00",1995,2002,31,"KAN","QB",15,3,0,0,NA
"CollTo00",1995,2003,32,"KAN","QB",15,5,0,0,NA
"CollTo00",1995,2004,33,"KAN","QB",15,2,0,0,NA
"CollTo00",1995,2005,34,"KAN","QB",15,1,0,0,NA
"CollTo00",1995,2007,36,"WAS","QB",15,4,3,2,NA
"CollTo00",1995,2009,38,"WAS","QB",15,3,0,0,NA
"CollTo00",1995,2010,39,"CHI","QB",10,2,1,0,NA
"CunnRa00",1985,1999,36,"MIN","QB",7,6,6,5,NA
"CunnRa00",1985,2000,37,"DAL","QB",7,6,3,4,NA
"CunnRa00",1985,2001,38,"BAL","QB",1,6,2,2,NA
"DetmKo00",1998,1999,26,"PHI","QB",10,1,1,0,NA
"DetmKo00",1998,2000,27,"PHI","QB",10,16,0,0,NA
"DetmKo00",1998,2001,28,"PHI","QB",10,16,0,0,NA
"DetmKo00",1998,2002,29,"PHI","QB",10,14,1,1,NA
"DetmKo00",1998,2003,30,"PHI","QB",10,16,0,0,NA
"DetmKo00",1998,2004,31,"PHI","QB",10,16,1,1,NA
"DetmKo00",1998,2005,32,"PHI","QB",10,16,0,1,NA
"DetmKo00",1998,2006,33,"PHI","QB",10,0,0,0,NA
"DetmTy00",1993,1999,32,"CLE","QB",11,5,2,2,NA
"DetmTy00",1993,2001,34,"DET","QB",14,4,4,-2,NA
"DetmTy00",1993,2003,36,"DET","QB",14,1,0,0,NA
"DilfTr00",1994,1999,27,"TAM","QB",12,10,10,6,NA
"DilfTr00",1994,2000,28,"BAL","QB",8,11,8,5,"AP CPoY-3"
